name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds
converging_safe_4_a2_b0-src_a2-dst_b0.in, safe,  25.197,  7.213,  2.385,  20.994,  3.892,  0.000,  13.644,  43,  {0: 1; 1: 1; 2: 5; 3: 3; 4: 4},  {0: 42; 1: 30; 2: 19; 3: 9},  0,  9,  9,  0,  6 

german_07.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

messenger_unsafe_1_a0_a1-src_a0-dst_a1.in, unsafe,  3.893,  1.441,  0.726,  2.209,  1.211,  0.037,  0.362,  91,  {0: 1; 1: 2; 2: 4; 3: 11; 4: 4; 5: 2},  {0: 14; 1: 8; 2: 8; 3: 8; 4: 8},  0,  8,  0,  0,  0 

ins-sort.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

carverW.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

ring_unsafe_5_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

network_safe_4_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

german_pfs.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

network_safe_2_d_e-src_d-dst_e.in, safe,  2914.108,  797.533,  1753.619,  2338.752,  570.701,  0.000,  349.685,  178,  {0: 1; 1: 1; 2: 4; 3: 3; 4: 4; 5: 13; 6: 14; 7: 9},  {0: 73; 1: 73; 2: 73; 3: 73; 4: 48; 5: 28; 6: 13},  0,  13,  13,  0,  14 

ring_unsafe_1_s_d-src_s-dst_d.in, unsafe,  1.466,  0.455,  0.259,  1.132,  0.172,  0.032,  0.449,  24,  {0: 1; 1: 1; 2: 4},  {0: 13; 1: 6},  1,  3,  0,  0,  0 

messenger_safe_1_a0_a1-src_a0-dst_a1.in, safe,  5.029,  1.831,  1.153,  3.099,  1.419,  0.000,  0.356,  103,  {0: 1; 1: 2; 2: 11; 3: 7; 4: 12},  {0: 16; 1: 16; 2: 10; 3: 10},  0,  10,  10,  0,  10 

sequence_safe_2_s_d-src_s-dst_d.in, safe,  135.517,  68.462,  51.715,  82.361,  52.500,  0.033,  13.131,  111,  {0: 1; 1: 2; 2: 2; 3: 7; 4: 7; 5: 3; 6: 2},  {0: 41; 1: 41; 2: 41; 3: 23; 4: 23; 5: 10},  1,  4,  10,  0,  8 

swim.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

messenger_unsafe_2_a0_a2-src_a0-dst_a2.in, unsafe,  98.676,  57.990,  8.581,  39.669,  53.564,  1.684,  11.291,  644,  {0: 1; 1: 8; 2: 11; 3: 22; 4: 9; 5: 13; 6: 7; 7: 19; 8: 21; 9: 17; 10: 2},  {0: 30; 1: 30; 2: 21; 3: 21; 4: 21; 5: 13; 6: 13; 7: 13; 8: 13; 9: 13},  0,  13,  0,  0,  0 

controller.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

ring_unsafe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

ticket_o.in, safe,  26.959,  10.386,  9.633,  17.996,  8.334,  0.052,  1.071,  442,  {0: 1; 1: 1; 2: 1; 3: 7; 4: 20; 5: 20; 6: 21; 7: 22; 8: 15},  {0: 11; 1: 12; 2: 12; 3: 12; 4: 12; 5: 12; 6: 12; 7: 12},  2,  5,  12,  0,  12 

