name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames
sequence_unsafe_5_s_d-src_s-dst_d.in, unsafe,  11.550,  1.770,  1.502,  9.063,  1.264,  0.949,  4.991,  754,  {0: 1; 1: 1; 2: 2; 3: 5; 4: 4; 5: 5},  {0: 37; 1: 28; 2: 20; 3: 13; 4: 7},  0,  5 ,  0,  {'index': 6},  0, 0, 6 

bakery_t.in, safe,  202.690,  92.171,  82.188,  150.252,  44.335,  0.029,  23.715,  292,  {0: 1; 1: 1; 2: 1; 3: 9; 4: 25; 5: 9},  {0: 26; 1: 26; 2: 26; 3: 26; 4: 26},  1,  5 ,  13,  {'index': 2},  10, 0, 6 

alternating.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  12 , 0, 0, 0, 0, 6 

system_4.in, safe,  5.714,  2.516,  1.269,  2.367,  3.137,  0.000,  0.050,  309,  {0: 1; 1: 1; 2: 5; 3: 1; 4: 9; 5: 10},  {0: 9; 1: 9; 2: 9; 3: 9; 4: 9},  0,  9 ,  9,  0,  0, 0, 7 

moesi.in, safe,  3.213,  1.018,  1.330,  2.145,  0.758,  0.022,  0.316,  72,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 3},  {0: 9; 1: 21; 2: 21; 3: 21},  1,  3 ,  9,  {'index': 2},  5, 0, 5 

messenger_unsafe_5_a0_a5-src_a0-dst_a5.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  23 , 0, 0, 0, 0, 8 

sequence_unsafe_4_s_d-src_s-dst_d.in, unsafe,  3.724,  0.662,  0.429,  2.620,  0.633,  0.282,  1.209,  387,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 4},  {0: 24; 1: 17; 2: 11; 3: 6},  0,  4 ,  0,  {'index': 5},  0, 0, 5 

szymanski.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  5 , 0, 0, 0, 0, 14 

xerox.in, safe,  53.329,  23.684,  22.024,  41.710,  10.342,  0.029,  4.875,  750,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 6; 5: 6; 6: 5},  {0: 39; 1: 24; 2: 24; 3: 24; 4: 24; 5: 24},  1,  4 ,  9,  {'index': 2},  4, 0, 7 

szymanski_at.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  6 , 0, 0, 0, 0, 12 

futurebus.in, unsafe,  120.298,  61.357,  47.360,  95.375,  23.770,  0.105,  9.235,  343,  {0: 1; 1: 1; 2: 2; 3: 11; 4: 2},  {0: 31; 1: 51; 2: 31},  1,  4 ,  0,  {'index': 2},  0, 0, 4 

sequence_safe_5_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  5 , 0, 0, 0, 0, 6 

ring_unsafe_3_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  3 , 0, 0, 0, 0, 5 

