name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames
ring_unsafe_4_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  4 , 0, 0, 0, 0, 5 

controller.in, safe,  0.493,  0.116,  0.155,  0.291,  0.082,  0.000,  0.008,  66,  {0: 1; 1: 1; 2: 2; 3: 4},  {0: 4; 1: 4; 2: 4},  0,  3 ,  3,  0,  0, 0, 4 

network_unsafe_6_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  22 , 0, 0, 0, 0, 6 

mux-sem.in, safe,  4.037,  1.550,  1.043,  1.875,  1.911,  0.013,  0.031,  321,  {0: 1; 1: 1; 2: 2; 3: 4; 4: 11; 5: 3; 6: 1},  {0: 5; 1: 9; 2: 9; 3: 9; 4: 9; 5: 9},  1,  5 ,  9,  {'index': 1},  0, 0, 7 

Distrib_Lamport.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

carverW.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

ticket_o.in, safe,  37.987,  16.176,  12.424,  19.190,  17.205,  0.077,  0.155,  1228,  {0: 1; 1: 1; 2: 2; 3: 6; 4: 16; 5: 6; 6: 11; 7: 30; 8: 14; 9: 18},  {0: 10; 1: 13; 2: 13; 3: 13; 4: 13; 5: 13; 6: 13; 7: 13; 8: 13},  3,  5 ,  13,  {'index': 1},  0, 0, 10 

dijkstra.in, safe,  1654.394,  1051.843,  487.802,  980.607,  659.622,  0.131,  94.401,  1588,  {0: 1; 1: 1; 2: 1; 3: 8; 4: 3; 5: 8; 6: 14; 7: 25; 8: 10; 9: 32; 10: 1},  {0: 19; 1: 19; 2: 48; 3: 48; 4: 48; 5: 48; 6: 29; 7: 29; 8: 29; 9: 29},  2,  5 ,  13,  {'index': 2},  14, 0, 11 

ring_unsafe_1_s_d-src_s-dst_d.in, unsafe,  1.046,  0.292,  0.197,  0.753,  0.138,  0.037,  0.228,  60,  {0: 1; 1: 1; 2: 3},  {0: 13; 1: 5},  1,  1 ,  0,  {'index': 3},  0, 0, 3 

system_2.in, safe,  0.261,  0.079,  0.078,  0.120,  0.069,  0.000,  0.003,  20,  {0: 1; 1: 1; 2: 1},  {0: 8; 1: 8},  0,  8 ,  8,  0,  0, 0, 3 

Fischer.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  5 , 0, 0, 0, 35, 8 

messenger_safe_3_a0_a3-src_a0-dst_a3.in, safe,  265.336,  197.702,  16.435,  47.197,  207.809,  0.000,  8.233,  6056,  {0: 1; 1: 15; 2: 16; 3: 44; 4: 39; 5: 8; 6: 6},  {0: 37; 1: 37; 2: 37; 3: 27; 4: 27; 5: 19},  0,  15 ,  15,  0,  5, 0, 7 

