name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames
moesi.in, safe,  3.053,  1.078,  1.049,  2.064,  0.690,  0.019,  0.445,  38,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 3},  {0: 9; 1: 19; 2: 19; 3: 19},  1,  3 ,  8,  {'index': 2},  4, 0, 5 

messenger_unsafe_5_a0_a5-src_a0-dst_a5.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  23 , 0, 0, 0, 0, 7 

sequence_unsafe_4_s_d-src_s-dst_d.in, unsafe,  6.150,  1.092,  0.398,  5.113,  0.609,  0.251,  3.462,  47,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 4},  {0: 24; 1: 17; 2: 11; 3: 6},  0,  4 ,  0,  {'index': 5},  0, 0, 5 

szymanski.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  5 , 0, 0, 0, 0, 15 

xerox.in, safe,  170.472,  74.834,  70.666,  121.007,  47.215,  0.029,  20.355,  165,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 6; 5: 11; 6: 10; 7: 7},  {0: 39; 1: 39; 2: 24; 3: 24; 4: 24; 5: 24; 6: 24},  1,  4 ,  9,  {'index': 2},  8, 0, 8 

szymanski_at.in, safe,  2818.828,  1719.442,  872.108,  1283.750,  1514.560,  0.031,  196.929,  1033,  {0: 1; 1: 2; 2: 1; 3: 3; 4: 3; 5: 5; 6: 14; 7: 19; 8: 35; 9: 26; 10: 19; 11: 11; 12: 3},  {0: 25; 1: 25; 2: 42; 3: 25; 4: 25; 5: 25; 6: 25; 7: 25; 8: 25; 9: 25; 10: 25; 11: 25},  1,  6 ,  11,  {'index': 2},  11, 0, 13 

futurebus.in, unsafe,  117.089,  42.320,  53.257,  92.259,  23.647,  0.111,  19.379,  58,  {0: 1; 1: 1; 2: 2; 3: 11; 4: 1},  {0: 35; 1: 57; 2: 35},  1,  4 ,  0,  {'index': 2},  0, 0, 4 

sequence_safe_5_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  5 , 0, 0, 0, 0, 6 

ring_unsafe_3_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  3 , 0, 0, 0, 0, 5 

sequence_unsafe_3_s_d-src_s-dst_d.in, unsafe,  1.733,  0.380,  0.181,  1.298,  0.235,  0.075,  0.624,  32,  {0: 1; 1: 1; 2: 3; 3: 3},  {0: 14; 1: 9; 2: 5},  0,  3 ,  0,  {'index': 4},  0, 0, 4 

network_unsafe_2_d_e-src_d-dst_e.in, unsafe,  175.148,  47.520,  69.009,  155.572,  18.713,  0.309,  55.259,  57,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 7},  {0: 72; 1: 47; 2: 27; 3: 12},  0,  10 ,  0,  {'index': 4},  0, 0, 5 

